bt,km,transmission,owner,modelYear,price,place,Insurance Validity,Fuel Type,Seats,Engine Displacement,oem_encoded,num_features,num_Comfort,num_Interior,num_Exterior,frequency_encoded_model,variantName_encoded
0.0,94695,0,1,2016,684000,2,0.0,1.0,5,1248,20,9,15,12,13,0.03524913370773091,0.0015533516549169554
0.0,22162,0,1,2019,802999,2,3.0,0.0,5,1197,20,9,15,12,13,0.03524913370773091,0.0035846576651929743
0.0,70000,0,2,2010,320000,2,0.0,0.0,5,1086,9,9,9,6,6,0.0071693153303859485,0.003106703309833911
2.0,115331,0,1,2017,803999,2,1.0,1.0,5,1498,8,9,17,12,10,0.04421077787071335,0.0003584657665192974
2.0,70000,1,2,2013,1400000,2,0.0,1.0,5,2148,21,9,19,12,16,0.005496475086629227,0.0002389771776795316
0.0,42233,0,2,2016,548000,2,1.0,0.0,5,1197,20,9,11,7,7,0.041821006093918034,0.04026765443900108
0.0,20941,0,1,2019,619000,2,1.0,0.0,5,1197,9,9,16,9,13,0.03106703309833911,0.00370414625403274
1.0,50000,0,2,2018,1000000,2,0.0,1.0,5,1248,20,9,22,11,15,0.01111243876209822,0.0009559087107181264
1.0,46602,0,1,2018,865000,2,1.0,0.0,5,1199,8,9,21,12,15,0.009798064284860795,0.006093918030828056
1.0,50000,1,2,2014,1000000,2,0.0,1.0,7,2696,19,9,20,11,18,0.0004779543553590632,0.0003584657665192974
0.0,104000,0,2,2014,535000,2,1.0,1.0,5,1248,20,9,10,10,9,0.041821006093918034,0.0027482375433146135
1.0,90000,0,1,2018,975000,2,1.0,1.0,5,1498,6,9,20,12,13,0.01995459433624089,0.000597442944198829
0.0,50035,0,1,2017,699000,2,0.0,0.0,5,1197,20,9,13,12,13,0.03524913370773091,0.0059744294419882904
1.0,80000,0,1,2021,1150000,2,0.0,0.0,5,1199,29,9,22,13,14,0.01051499581789939,0.0001194885888397658
0.0,90000,0,2,2015,625000,2,1.0,0.0,5,1197,9,9,17,10,10,0.03955072290596248,0.0001194885888397658
2.0,90000,1,4,2011,1000000,2,0.0,1.0,5,2143,21,9,19,12,12,0.005496475086629227,0.0001194885888397658
2.0,120000,0,1,2011,600000,2,0.0,1.0,5,1364,30,9,12,8,8,0.004660054964750866,0.0003584657665192974
2.0,25170,0,1,2015,675000,2,2.0,0.0,5,1197,20,9,19,12,11,0.03023061297646075,0.0071693153303859485
2.0,25022,0,1,2021,893000,2,1.0,0.0,5,1462,20,9,13,8,10,0.015294539371490022,0.0015533516549169554
0.0,100000,0,2,2012,420000,2,0.0,1.0,5,1248,20,8,11,9,8,0.041821006093918034,0.0002389771776795316
